TRA05,SEXEP,SUTOT,CHAFF,TAXES
8,1,3,122611,539
9,1,21,98833,0
9,1,23,242603,0
6,1,2,741500,620
7,1,5,1381072,0
8,1,27,322779,33
11,1,27,392307,0
10,1,26,226371,0
4,1,26,112816.92,14
9,1,19,129541.29,1516
9,1,3,1349019,540
9,1,14,67240,1468
8,1,30,479291,895
8,1,20,102473,0
10,1,22,187365.04,0
7,1,13,156016.17,696
10,2,20,104945,134
11,1,26,329182,0
7,1,12,632185,1818
8,1,9,994056,265
7,1,17,362309.74,31
6,1,16,788695,78
7,1,15,168810,20
7,1,1,545630,98
9,1,14,283494,0
6,1,13,299283.16,0
7,1,11,292262,0
9,1,14,471180,0
8,1,25,213609.62,949
9,1,18,314474.24,0
6,1,1,340713,0
8,1,14,259491,856
7,1,14,151504,0
8,1,12,579399,31
9,1,11,608665,21
10,2,11,51011,0
10,2,1,200789,975
9,1,10,87893.05,2692
5,1,10,17255.8,298
10,1,9,31291,647
5,1,26,374791,0
10,1,7,77909,818
5,1,18,617229,0
9,1,5,647545,0
7,1,26,191281.11,0
9,2,13,63398,0
11,1,4,230666,2231
9,1,13,1044114,188
8,1,19,51312.5,0
10,1,17,19482,0
10,1,14,100020,674
8,1,26,153279.38,0
8,1,19,105466,1071
8,1,19,97647,2219
11,1,2,82194.33,0
7,1,9,134668,1343
13,2,23,160350,3445
6,1,16,113369.65,0
7,1,17,370267,0
9,1,12,49458,137
4,1,5,178148.06,0
9,1,7,166778.52,0
9,1,8,128281.1,0
9,1,5,145215.93,0
9,1,5,106151.74,0
8,2,9,544330,0
9,1,23,159807,82
9,1,18,193143.42,0
11,1,17,433589.83,4550
7,1,2,140355.3,0
7,1,2,204850,0
7,1,18,244913,0
7,1,17,599597,0
4,1,28,881478,0
5,2,27,484871,0
9,1,27,313630.34,0
10,1,22,193967,87
10,1,29,836324,332
9,1,26,394647,50
7,1,26,225233,76
9,1,11,362507,0
10,2,3,67083,876
10,1,4,146338,0
7,1,1,869882,0
9,1,2,144310,0
8,1,10,475855,0
9,1,13,103495.33,620
8,1,6,92331.96,1507
10,2,6,82533.82,3263
10,1,13,312960,2686
7,1,5,79778.99,1814
8,1,26,187315.03,1334
9,1,12,232727.15,701.71
8,1,25,241609,0
9,1,26,178298.55,1110
9,1,15,193215,634
8,1,13,74555.34,91
10,1,22,379680,13
7,1,26,487341,0
8,1,13,95788.06,0
5,1,28,322025,0
8,1,20,185042,1803
8,1,17,211195.56,0
8,1,19,225812,0
7,1,27,242910,0
8,1,27,416311,0
9,1,30,423642,1090
10,1,19,206808.47,0
9,1,1,143720,609.54
8,1,12,97308,0
7,1,21,308366,407
10,1,26,269989,0
8,1,6,460548,0
6,1,18,644219,79
8,1,1,166520.02,0
8,1,18,120800,0
8,1,26,315294,0
9,1,13,159377,438
6,1,2,105716.83,301
10,1,17,101182,0
7,1,19,188491.38,1713
7,1,23,396932.49,0
6,1,17,304352.18,0
8,1,22,709899.21,0
9,1,30,459511.56,90
9,1,19,765383.89,380
9,1,27,407698,4800
7,1,26,194502,1573
5,1,17,60215,0
6,1,21,246308,0
9,1,14,126770,0
9,1,17,196682,0
8,1,26,232296.61,0
7,1,25,358448,0
9,1,3,86540,1498
9,1,11,50268,198
8,1,19,123618,424
10,1,20,169889,550
6,2,12,177517.71,0
7,1,5,267169,43
6,1,3,576440,0
10,2,26,238420,0
8,1,16,172501.4,0
4,1,17,466444,52
10,2,1,54700,0
9,1,11,65739.83,3391
8,1,18,292786,10
9,1,11,57601.23,229.34
10,1,7,55252.37,571
8,1,12,170054.77,1429
8,1,15,216572.47,0
9,1,8,76847,0
8,1,7,61023,211
11,0,10,97194.65,0
9,2,8,245208,611
6,1,7,115262,0
8,1,17,440817,28
6,1,17,299457,58
9,1,27,332623,0
8,1,11,102117,496
7,1,14,208993,0
8,1,17,98647,0
8,1,12,1284373.9,0
9,1,26,245035,0
9,1,18,292211.31,0
8,1,29,392586,0
9,1,25,157407.39,1011.71
10,1,21,71831.79,163
9,1,16,89059,2524
7,1,25,417513.83,72
8,1,23,149816,0
12,1,10,46112,1894
5,1,3,209328,0
8,1,10,235972,0
10,1,26,165942.5,684
7,2,26,285201.99,0
10,1,28,782839.26,0
7,1,17,153421.98,2269
8,1,26,338120.23,874
6,1,16,185633.71,436
4,2,3,159550,0
8,1,2,69597,368
8,1,16,220425,495
9,1,12,138629,0
8,1,2,195436,0
10,2,9,26600,2123
10,1,23,98662,1799
9,1,3,288360,0
8,2,20,347472,0
9,2,13,220639,61
8,1,25,252495,0
8,1,26,314796,0
6,1,19,227451,0
10,1,12,99595,107
8,1,14,107020,0
8,1,13,105153,0
8,1,16,121221,0
9,1,21,497845.53,0
9,1,24,190284,0
5,1,26,237590.29,0
9,1,15,168232.9,0
8,2,19,274848.84,0
10,1,26,375162.72,34
9,1,3,74073,0
7,1,27,112576.34,116
8,1,4,323631.47,0
8,1,16,215357,710
10,1,5,91836.38,1453
10,1,1,22260.14,620
10,1,5,68603.17,1546
9,1,7,251222.22,1726.59
7,1,10,160053.34,4315
7,1,23,14575,1359
7,1,28,390332,730
8,1,7,108551.53,0
7,1,14,196458.6,0
7,2,17,337151.68,0
10,2,6,57171.99,6203
8,1,9,150135.19,0
7,1,3,55835.36,37
9,1,4,79298.2,0
8,1,10,264318.9,0
9,1,3,198379.04,0
11,2,4,181891.52,0
12,1,9,109874.33,0
9,1,27,109019.13,0
5,1,20,299071.04,0
9,1,17,227516,129
9,1,11,671184.78,239
10,1,23,93531.04,0
7,1,19,277594.88,0
10,1,25,467330.3,98
9,1,26,398087.02,1489
9,1,17,195057,0
9,1,22,76230,0
10,1,28,292666.32,0
9,1,22,295937.14,0
7,1,24,483033,0
9,1,12,136401,475
9,1,26,223915,0
7,1,5,316204,1354
8,1,16,91351.41,2003
8,1,11,187225,0
10,1,26,136579,4019
7,1,15,231158.23,534
5,1,26,120665.11,1890
10,1,18,97383.48,733.22
10,1,24,295687,0
10,1,23,370547,0
8,1,13,282208,54
4,1,26,309760,0
10,1,22,166809,0
10,1,26,259233,0
9,2,15,461178,0
8,2,12,326446,0
6,1,26,251980,0
9,1,15,169824,0
8,1,18,130680,0
9,1,18,253752,217
10,1,1,454455,160
9,1,1,269867.26,0
10,1,26,565006.74,0
8,1,26,282489.43,0
6,1,19,180722,31
7,1,15,128185,306
7,1,17,104963,65
11,1,27,200251,0
8,1,22,110625.79,0
7,1,13,430901.84,0
7,1,26,275370,0
9,1,18,152917.61,0
7,1,23,383260.46,176
8,1,16,87677,100
8,1,1,82566,1427
9,1,11,298443.06,271
7,1,11,151732.93,96
9,1,23,82626,0
10,1,16,73041,0
7,1,22,122489,0
10,1,14,61500.04,0
12,1,27,389083.52,0
9,1,14,35743.33,2887
11,1,19,1183803.11,351
8,1,10,791556.67,461
5,1,1,955945.49,0
6,1,13,218192,1082
10,1,17,325741,805
6,1,18,116008,44
8,1,24,69707.15,13
9,1,3,440072,0
7,1,3,65704.15,362
7,1,5,168463.65,333
6,1,14,77347.41,0
5,2,10,152867.18,0
8,2,4,321793,0
8,2,9,301339,566
8,1,3,126037,990
9,1,12,338784.25,0
5,1,16,139625,0
8,2,16,3651026.32,697
9,1,26,485222,0
10,1,19,187686.41,0
10,1,6,189082.5,0
5,1,17,139489.41,0
8,1,26,547837,0
6,1,13,213825,0
10,1,7,372695.42,0
9,1,12,67507.37,970.1
8,1,23,445850,37
8,1,17,262190,0
7,1,12,248192,0
9,1,15,574762,0
10,1,14,155714,2212
8,1,8,99186,0
9,1,9,39606,0
6,1,28,76324.69,0
7,1,1,178521,3874
9,2,1,581362,0
9,1,18,35844,0
9,1,3,130781,168
10,1,21,253563,53
9,1,2,299030,0
8,1,19,234033.46,0
6,1,18,186765.54,0
9,1,14,297788.94,0
5,1,25,530453.99,110
5,1,8,328502,0
9,1,6,71410.8,1569
14,1,12,519866.6,0
9,1,21,107693,0
9,1,13,82659,78
5,1,3,184979,0
4,1,10,820768.15,0
9,1,26,389046,0
9,1,4,362528,0
8,1,15,26250,30
8,1,20,43921.79,0
11,1,2,66736,0
10,1,23,336093,0
9,1,26,131940.21,11548
5,1,10,214789,0
7,1,11,88061,0
9,1,19,186651.22,14
12,1,20,210013,0
7,1,20,181837.5,34
8,2,16,128898,0
5,2,27,417436,0
12,1,28,300893,3525
13,1,4,201439,0
11,1,15,173864,0
9,1,17,238479.94,0
8,1,4,589368,0
6,1,18,483428,1304
6,2,25,337522,0
5,1,23,463247,70
8,1,18,390508,0
9,1,12,127788,0
7,2,11,142561,0
4,1,18,348793,879
9,1,9,19815,1032
7,1,26,512249,0
5,2,16,173538,0
11,2,13,140714,89
7,1,18,225841.14,363.3
8,1,1,126618,0
9,1,2,277868,0
9,2,1,263318,878
8,1,16,154331.92,0
12,2,2,59119,0
8,1,1,45787,0
10,2,1,291935,0
10,1,14,126264.42,259.72
9,1,11,1525200,0
10,1,9,183568.99,7202
7,1,11,109075.47,3418
5,1,18,114889.77,37
8,1,11,54428.17,304.69
10,2,26,209949.14,0
8,1,22,93690.45,489
6,1,27,491383,0
9,1,6,207288,0
7,1,23,562051,1820
13,2,9,120862,0
9,1,23,262606,89
6,1,18,177438,51
8,1,13,67243,645
11,1,30,3622922,37550
9,1,3,40255,226
8,1,14,185023.83,0
10,2,10,224551.42,0
8,1,8,337302,6371
10,1,12,130265.21,0
9,2,6,155731.41,0
9,1,6,74512,2044
2,1,9,31237,3376
11,1,9,160239,0
7,2,25,818054,0
8,1,26,338001.62,0
8,1,27,448527,193
7,1,30,926036,2664
8,1,20,310269,30
4,1,26,139227,0
11,2,20,312233,0
8,2,23,138950,0
10,1,21,173405,429
9,1,7,89740,2018
6,1,27,193827,951
2,1,22,542403,0
8,1,1,174768.21,0
8,1,22,153848.44,0
9,1,15,27403.09,975.43
8,1,1,218694.23,0
9,1,24,290004,134
10,2,1,176085.91,1136.56
10,1,1,117461.6,237.82
9,1,2,277164.18,0
5,1,21,232043,0
5,1,30,743694,0
13,1,1,280087,111
10,2,1,195891,61
3,1,23,167119,0
9,1,26,465776,0
9,1,25,328849,214
10,1,7,376190,12
9,1,19,299882,0
9,1,15,130955,312
9,1,13,137447.14,270
7,1,16,120286,433
7,1,11,409557,0
4,1,2,321132,0
7,1,3,853038,859
10,2,12,102478,0
9,1,25,163730,0
5,1,30,338837,0
9,1,21,128205,305
8,2,2,368497.11,0
7,1,6,594254,0
6,1,24,98661,163
6,1,23,118636,115
9,1,1,175758,0
9,1,22,300724.45,0
8,1,15,335014.63,15
8,1,19,244698.55,60
8,1,26,171275,178
7,1,17,314639.51,0
9,1,22,91489,0
11,1,16,128230.28,0
8,1,7,304241.15,0
10,1,12,232983.66,0
6,1,1,1610011.5,12
8,1,18,1010154.09,0
9,1,25,84543,0
8,1,12,52681.97,305.27
9,1,27,77226,0
9,1,28,401560,0
7,1,29,332334,261
7,1,23,422420,105
6,2,10,705011,326
11,2,5,593704,0
10,1,27,872632,0
11,1,26,382310.56,0
9,1,2,217351,0
10,1,10,74433,0
4,1,10,560364.89,0
10,1,4,1174490.5,355
10,2,19,357770.45,0
9,1,13,263480,0
8,1,1,199427,0
7,1,6,470624.45,0
6,1,13,60261,0
8,1,10,430042,0
8,2,11,41468.91,602.5
9,1,15,34045.07,1357
10,1,24,207124.53,0
10,1,9,17070.49,733
7,2,14,834721.43,0
9,1,27,752801,390
8,1,19,387813,0
5,1,21,301992.05,0
6,1,10,108580,0
9,1,4,59352,100
7,2,7,154684,497
8,1,11,159235,0
7,1,11,146317,64
9,2,9,1297389,0
10,1,19,1316827,92
5,1,17,375984,0
7,1,18,131286,860
6,2,15,337193.76,0
8,1,13,174491.89,0
9,1,13,441829,0
10,2,5,82581.39,1730
8,1,6,175747,82
9,1,14,246482,219
7,1,20,134449.56,1422
8,1,11,130713.73,0
7,1,9,124252,0
9,1,15,90628,292
9,1,12,223684,0
7,1,28,175359,0
9,1,21,152656,0
6,1,15,134243.28,19
7,1,26,232818.51,0
10,1,2,167458,2488
8,1,14,46651,0
9,1,12,121883,1451
7,1,19,9191,100
8,1,12,647988,0
7,1,9,31570.33,257.01
10,1,16,165259,1158
7,1,16,29148,0
8,1,10,772279.21,0
9,1,21,299566,521
8,1,28,910060,732
7,1,18,281323.28,143
9,1,18,263962.18,0
9,1,27,265870.79,0
8,1,26,305119.66,0
6,1,3,599163,107
9,1,16,239873.54,772
5,2,18,163187,0
8,1,2,82999,0
9,1,7,287501,0
3,1,5,430488,74
9,1,27,415452.88,446
9,1,11,103170,1210
10,1,14,1214789,0
9,1,4,208952,24
6,1,11,575939.24,0
9,1,23,307768,0
9,1,15,271647.75,0
10,1,22,318282,927
7,1,15,179260,0
8,1,26,112651.02,0
8,1,26,286292.74,182
9,1,25,250159.15,361
10,1,23,366470.23,55
7,1,27,567840,82
11,1,17,165654,0
6,1,27,148839,0
9,1,12,215531.27,25
6,1,15,349509.17,0
10,2,5,44966,0
10,1,26,149282,615
10,1,19,236630,0
9,1,25,216916.54,0
9,1,24,736501,0
10,1,20,201787.66,0
9,2,2,74519.26,0
8,1,15,85463.79,0
9,2,16,102569.98,0
8,1,8,605026,0
9,1,11,104004,0
10,2,13,117686,0
8,1,26,61831.96,1455
7,1,26,76523.71,0
8,1,26,333978,0
6,1,15,127360.12,0
11,1,26,302881,0
9,1,21,231294,0
7,1,2,503486.42,1059.93
8,1,19,240876,0
9,1,19,270050,0
10,1,30,240219,0
8,1,27,92370,0
7,1,18,146799,0
12,1,17,144373,3784
8,1,2,263322,1373
8,1,15,243369,320
6,1,27,500124,0
7,1,27,389095.98,14
6,1,2,223727,0
10,1,3,713872.91,835.34
7,1,2,297519,414
10,1,2,480822,0
8,1,26,313315,0
8,1,4,852878.32,0
9,1,27,229824,0
9,1,16,75497,1162
9,1,24,646096.29,554
8,1,20,261462.44,0
7,1,27,503575.48,32
8,1,21,238836.89,2985.7
9,1,2,259817.27,0
8,1,9,483508,0
8,1,22,787391,0
9,1,15,91867,820
10,1,16,163701,526
8,1,22,187435,0
8,1,3,186760,0
10,1,3,239512,450
9,1,15,137658,0
7,1,4,46791.57,0
8,1,13,279993,657
9,1,16,495887,0
9,1,16,182827,0
8,1,15,291693,0
7,1,12,234470.9,1163
9,1,12,84639.08,0
8,1,16,55887.94,2663
8,1,18,99965,97
9,1,16,29782.59,540
9,1,1,511543.18,0
7,1,9,206615.13,126
9,1,23,303327,950
10,2,17,134895,3312
7,1,13,151977.57,0
10,1,13,91146,0
7,1,4,403259,1311
7,1,15,174892,0
8,2,18,270443,0
8,2,21,334797,0
10,1,5,148911.68,0
9,1,4,310689,606
11,1,2,47006,1106
7,2,10,982264,0
8,1,7,259233,0
10,1,28,653955,0
4,1,28,1079119,0
7,1,29,2499101,3365
12,1,11,57897,1011
9,1,15,408981,0
7,1,12,227223,1147
10,1,12,85385,1512
8,2,18,290327,1113
9,1,26,585426.02,13
10,1,18,166441,0
7,1,26,262466,26
10,1,14,80950,3005
11,1,7,141140,885
7,1,22,423849.63,0
10,2,27,413581.33,134
9,2,15,251063.14,23
9,1,27,447735,0
8,1,18,241738.56,22.75
8,1,5,137476.11,0
11,2,26,219899,0
9,1,11,55009.78,247.6
10,1,27,685537.85,0
9,1,11,145107.12,902
7,1,17,312384.88,0
8,1,13,222018,925
9,2,14,201418,365
10,1,1,246923,0
9,1,13,182974,0
8,1,11,238702,592
5,1,12,369384,0
8,1,7,132700,103
7,1,13,610018,778
8,1,1,18812,0
6,1,20,240849,0
10,1,9,18974,957
8,1,5,23444,1547
7,1,12,231506,34
9,1,6,343957.89,19
6,1,16,116036.04,1755
9,1,3,252943,415
6,1,19,324145,1712
5,1,11,650096.23,0
10,1,4,27728.94,136.47
8,1,19,25182.12,458
8,1,16,58014.34,99.2
6,2,18,1106484,0
6,2,19,229310.96,0
6,1,26,115545,743
9,1,29,744498,0
7,1,14,346847,0
9,0,4,640867.8,0
11,1,19,193485.73,0
8,1,16,284297,18
9,1,24,375830,51
9,1,16,170237,0
6,1,2,245566,0
8,1,19,160641,400
7,1,21,61936.82,0
11,2,24,281736.27,0
8,1,28,120853.13,0
9,1,3,217973,713
9,2,14,96177.44,0
5,1,4,682224,0
8,1,14,40615.36,50
5,1,25,665510,0
9,1,4,242678,0
10,1,13,49296,0
7,1,16,103214,1348
9,2,22,95198.06,0
6,1,26,163999.24,0
8,1,17,199190.04,548.3
12,2,1,336124,108
5,1,2,385956.41,1994.28
9,1,1,65776.33,414
8,1,19,113101,23
9,1,26,312117,578
7,1,13,251918.37,0
9,2,1,208902.21,73.03
10,1,1,103179.52,99
8,2,13,366085.56,0
8,1,29,262088,791
8,1,3,221855,0
6,1,12,163841,754
10,1,24,211280.17,239
9,1,18,58242.85,0
10,1,21,233773.6,79.91
8,1,22,60257.77,0
8,1,24,158913,2399
10,1,16,84958,1974
4,1,3,323936,0
10,1,21,160081,1180
7,1,20,111325.44,939
9,1,26,105018,0
10,2,2,235669,132
5,1,16,268609.29,31
7,1,10,489874,0
8,1,1,664516.99,179
9,1,16,358265.15,0
4,1,16,394219.91,0
9,1,16,104920.67,0
9,1,18,478375.08,0
8,2,26,106687,0
9,1,21,502590,82
10,1,6,568700,803
10,1,3,46262,475
8,1,6,230519,0
7,1,7,340063,8273
7,2,6,105543,0
9,1,7,522738,0
9,1,8,92479,0
9,1,11,259230,0
7,1,7,206659,0
7,1,15,197274,5546
10,1,14,31572.89,0
7,1,5,253969,0
9,1,13,123531,0
8,1,13,124663,0
9,1,7,98894,587
10,1,4,528873.76,147
5,1,2,189041,0
9,1,26,324661,0
9,1,27,977943,0
10,1,16,404760,0
8,1,3,320052,0
4,2,8,99836,0
9,1,13,69042,0
7,1,12,64293,103
9,1,11,56544,1063
9,1,7,45823,1390
9,1,7,45792,29
5,1,15,854960.75,327
5,1,2,718201,0
8,1,17,114111,1576
9,1,10,76132,417
9,1,22,227472,0
7,1,9,212102.92,1763
7,1,5,262182.87,0
10,1,15,149954.6,360.62
9,1,13,455102,0
9,1,23,125306,0
10,1,24,302531,0
9,1,27,332906,3761
8,1,21,218399,1043
7,1,13,55514,890
8,1,29,327709,0
8,1,18,80075,0
8,1,11,112714,1064
7,1,28,719398,0
7,1,26,928382,676
7,1,23,141350,1381
7,1,26,178655,137
6,2,24,229724.03,404
7,1,27,416865.22,0
10,1,1,207750.83,0
4,1,17,104173.68,425.4
9,1,30,3444992,0
8,1,14,104378.63,0
7,1,16,277301,0
9,1,12,686945.28,1070.5
8,1,6,443975,0
8,1,12,1165962,1787
7,1,28,79900,25
6,1,23,259679,0
6,1,13,81738,832
6,1,13,164159,352
8,2,13,210947,1980
9,1,23,373582,80
10,1,22,552512,0
11,1,12,100033,666
10,1,26,656717,0
4,1,18,307449,0
9,1,19,120625,0
5,1,21,444030,0
8,1,23,251583,61
7,1,24,184380,0
10,2,11,81557,411
6,1,12,521013,0
5,1,18,96539,401
8,2,14,113167,0
8,1,11,83763,306
7,1,15,86699,0
9,1,14,92725,0
9,1,29,435827,0
7,2,20,205164.41,36
5,1,21,113498.43,267
7,1,17,183307.97,2479
9,2,19,85452.79,357
10,1,30,531251.87,38
10,2,2,398365.02,0
7,1,13,193504.06,1634
7,1,16,1392956,1450
9,1,15,93847,0
7,1,16,383510,0
8,1,8,173053,0
10,1,1,50601,0
10,1,9,281705,230
6,1,1,106791,0
10,1,1,173497,0
6,1,11,147470,0
9,1,19,1920925,0
12,1,8,166280,0
10,1,9,83365,0
8,1,15,455687,4249
9,1,9,68142,1041
10,1,12,122058,210
9,1,17,220607.8,0
9,1,1,1476252,3102
9,1,13,2693578,2945
8,1,2,634892,0
6,1,14,861846,0
10,1,4,206948,0
9,1,1,121600,0
11,1,7,320357,5428
7,1,2,147206,62
7,1,12,45038,0
11,1,13,66592,768
9,1,10,29357,174
9,1,12,210317.65,0
8,1,20,96204.73,138.8
8,1,14,17358.21,390
8,1,8,22251.31,232.47
8,1,14,37518.75,593.74
9,1,22,70418.94,790.91
2,1,12,48478.47,0
8,1,4,494688.21,0
7,1,23,67946.56,0
10,1,26,216778.02,1542
8,1,21,120321.63,0
9,1,10,890137.88,18724
10,1,25,490621.83,250
8,1,11,24651.42,82
9,1,4,345490.15,0
7,2,1,95579,0
9,1,13,527825.6,0
7,1,1,22241.39,416
8,1,26,647898,0
9,1,2,59693.74,580
8,1,21,41573.96,0
10,2,17,106384,0
8,1,8,482269.66,5132.05
4,1,17,816112,124
8,1,29,371288.36,15
8,1,3,206119,3
11,2,17,66463.72,1083
8,1,1,317004,16
9,1,16,161689,1505
9,1,16,32365,12
8,2,23,219457.19,205
5,1,23,449896,0
9,2,6,30348,0
7,2,22,414888,0
10,1,5,257624.41,0
8,1,11,1116157,0
5,2,24,243698,94
5,1,28,258049.51,370
8,1,17,81141.89,239.76
9,1,21,115461,0
9,1,12,82585.64,0
10,1,14,53421.94,473.28
8,2,19,132410.82,0
6,1,19,193597,265
3,1,30,834578,0
7,1,15,114666,0
9,1,26,297903,0
9,2,1,68978,737
6,1,13,128608,0
7,2,1,176460.59,1315
6,2,2,745611.19,0
8,2,2,860354.33,1051
9,1,28,498936,0
8,2,1,56008,0
8,1,20,222685,496
7,1,14,288411,40
6,1,11,950197,7611
6,1,28,132501,0
10,1,26,151351,0
8,1,22,148096.53,104
8,1,21,122731,0
8,1,28,335399,0
9,1,1,55352,0
8,1,16,86795.24,167.23
6,1,28,390749,0
9,1,15,96958,299
5,1,19,131462,1719
7,1,20,374510.46,0
8,1,26,180269,26
6,1,21,272562.01,28
10,1,27,162440,0
9,1,5,64348,129
8,2,5,472558,202
8,1,1,199996,0
5,1,26,513986,358
8,1,27,643398.01,100
8,1,1,36020.9,92.52
9,2,12,124994.58,0
10,1,8,290472,790
9,1,26,349664,804
8,1,21,314850,28
6,1,26,534924.64,395
8,1,14,247291,110
7,1,15,103430.83,237
6,1,2,70382.84,287
8,1,21,74626.64,335
8,1,27,1034963.37,21
9,1,7,153566.35,0
8,1,16,36392.65,303
9,1,14,191014,1500
9,1,3,62024,998
9,1,8,38207,1686
7,1,3,21497,266
8,1,5,227816,0
10,2,10,73272,42
9,1,17,213241.9,0
9,1,17,491244,324
9,1,10,87128.44,179
8,1,6,112045.8,0
8,1,12,27392.76,0
7,1,5,81796,201
8,1,12,174510,610
8,2,22,824335,0
8,1,18,409028,1965
8,1,12,220127.56,0
11,1,10,22711,0
7,1,4,124961,0
6,1,6,226841,0
6,1,9,692453.99,0
9,2,13,367966,0
6,1,29,485424.54,38
9,1,5,93571,0
9,1,15,243331.48,28
10,1,11,61659,335
7,1,23,214283,206
9,1,1,766436,485
8,1,6,1398380,57
6,1,9,143813,0
8,1,12,64662,16
12,1,5,347291.88,135
5,1,24,456276.9,0
10,2,19,73493,3520
9,1,1,172915,0
6,1,13,409520.51,0
8,1,13,105361.02,851
9,1,26,304729.71,0
8,1,15,99617,89
6,1,2,419401,84
11,1,15,160774,333
5,1,27,563430.16,0
10,1,11,31392,0
7,1,4,84495,0
9,1,17,85473.13,0
6,1,20,162154.07,0
8,1,18,294777.81,0
5,1,30,244165.09,0
10,1,27,294905.29,0
6,1,26,133002.22,0
10,1,17,247955,311
6,1,17,192131,0
8,1,21,81051,0
9,1,14,61048,0
9,1,20,97708,0
8,1,16,55928,0
7,1,14,62614,145
11,2,15,403074.47,0
8,1,10,161359,691
9,1,3,89663,0
8,1,21,199665.06,1503
8,1,4,901322.89,661
7,1,21,177065.45,956.86
9,1,22,189548.54,1653
8,1,1,74941.71,0
7,1,19,117382.41,235
10,1,25,95975.78,0
7,1,27,415786,0
9,1,30,1024921,0
8,1,27,613713,0
9,1,9,146036.64,235.5
8,1,7,40106.13,624.73
9,1,9,1040674.93,1135
9,1,11,71612,0
5,1,13,160560,257
7,1,11,80039.41,0
9,2,4,468445,0
8,1,19,263132,2615
8,1,24,469965,0
9,1,22,90344,0
7,1,27,513906,0
5,1,18,377488,42
8,1,24,368815,0
5,1,16,293350,0
11,1,15,122424,0
8,1,12,101660,1388
7,1,22,217914,0
8,1,21,196424,0
8,1,29,625473.76,157
6,1,26,493524.2,958
7,1,26,332052,0
10,1,19,191884,0
7,2,21,229181.66,1807
3,1,27,798122,0
6,1,7,976770,0
10,2,1,194189,113
9,2,1,142478,115
12,2,23,217935,0
10,1,20,255596,112
10,1,19,241118,0
8,1,12,158224,751
8,1,6,131491,2783
7,1,15,188556,226
9,1,12,229528,126
8,1,12,87717,0
7,1,11,134462,311
9,1,6,99450,0
10,1,26,396893,0
6,1,18,323349,50
9,1,24,432924,0
7,1,12,203972,0
8,1,11,162331,316
9,1,22,265128,0
7,2,4,202090,39
7,1,17,17173.8,756
7,1,17,107656.02,18
9,1,7,100805,151
8,1,15,165751,4247
9,1,17,101566.59,3645
9,1,24,64058.07,1700
10,1,3,88164.22,0
8,1,4,170124,0
10,2,4,47038.4,0
9,1,14,18457.81,1414
10,2,13,71547,0
10,1,14,15776.86,156.53
8,2,18,70155.67,186.02
7,1,18,112136.16,709.69
9,1,18,160520.23,0
9,1,11,47825.64,523.41
10,1,26,97865.93,0
8,1,24,171370.92,0
7,1,26,117646.31,0
8,1,8,343754.07,0
8,1,7,320083.03,8010.52
7,1,6,266112,0
9,2,14,102022.54,0
9,1,3,39193,1177
8,1,16,123014,0
10,1,20,296519,206
7,1,14,54441.44,0
5,1,25,464330.69,0
7,1,13,140380.08,0
9,1,17,70951,536
10,1,1,706464,0
8,1,13,26218.1,830
8,1,25,378028.18,0
6,1,16,238066,90
10,2,18,105242.43,0
8,2,12,66977,622
5,1,30,850205,13
8,1,19,141667,0
9,1,5,111410.13,2448
9,1,16,88405,268
5,1,24,377373,0
8,1,13,103809,557
8,1,16,58713.4,47
6,1,15,57472.41,1842.4
8,1,23,1776021.03,2578
10,1,1,121689,0
5,1,27,226427.97,0
7,2,19,695554,0
9,1,26,517852,245
5,1,26,292968.47,0
8,1,14,151416,307
5,1,25,174472,3478
9,1,24,270513,0
10,1,21,162794,1233
11,2,2,89123,19
12,2,23,138258,545
9,1,14,256982,0
5,1,27,165555.14,0
9,1,3,167957,0
9,1,26,86306.12,0
9,1,2,144892,0
8,1,23,177943,0
8,1,17,33660,0
6,1,25,390555,270
9,1,14,46824,0
9,1,7,570640,0
8,1,26,105580.51,0
6,1,17,394030,403
8,1,27,98491,0
8,1,15,12515.75,1180.86
10,2,11,42151.94,1469.87
9,1,18,622231.03,0
6,1,29,312602,37
9,1,16,116132,0
9,1,30,1773475,0
7,1,12,55242,73
8,1,1,148319.08,390.83
8,2,1,159422.14,179
8,1,1,177911.25,449.54
8,2,1,134529.13,110
10,2,1,199106.69,1571
7,2,1,123653.71,0
11,1,1,117964.59,96.36
4,1,26,132303,0
7,1,19,104000,0
7,1,22,497073.78,0
8,1,7,187413,49
7,1,26,206395,0
8,1,18,77769,93
8,1,21,95514,0
7,1,17,82662,197
8,1,11,187628.96,0
8,1,14,56987,169
8,1,16,87406,93
8,1,2,184717,0
8,1,25,184163,0
9,1,29,283370,0
10,1,12,91672,550
7,1,2,162027,116
9,1,3,550573,0
10,1,11,54959,901
5,2,11,261965.78,0
9,1,17,144606.6,0
9,1,1,76366,0
11,1,2,19624.95,174.22
8,1,18,500958.96,0
5,1,20,540929.16,0
7,1,19,621972,0
7,1,23,345975,61
9,1,5,54719,606
7,1,26,485083,1089
8,1,11,545436,91
7,2,4,79023.68,770
8,2,3,62364,1035
6,1,5,135234,298
9,1,7,742484,0
6,1,14,606756,0
6,1,3,195651,2909
6,1,3,112212,3742
8,2,12,192750,0
8,1,5,1559205.05,0
9,2,7,58542.62,203.6
6,1,11,319795,1287
7,1,7,73028,306
9,1,12,244756,0
10,1,7,29718,210
9,1,12,73984,531
8,2,9,32932.56,0
